Strain_name	Species_classification	Soil	Host	Sample	Symbiovar
QUR0268	Rhizobium_croatiense	GSC145	Commercial_navy	Sample_11	phaseoli_y-a
QUR0267	Rhizobium_croatiense	GSC146	Commercial_kidney	Sample_3	phaseoli_y-a
QUR0266	Rhizobium_croatiense	GSC146	Commercial_navy	Sample_12	phaseoli_y-a
QUR0265	Rhizobium_sophoriradicis	GSC151	Commercial_kidney	Sample_8	phaseoli_y-b
QUR0264	Rhizobium_johnstonii	GSC152	Commercial_navy	Sample_18	phaseoli_y-a
QUR0263	Rhizobium_johnstonii	GSC152	Commercial_navy	Sample_18	phaseoli_y-a
QUR0262	Rhizobium_sophoriradicis	GSC151	Commercial_navy	Sample_17	phaseoli_y-a
QUR0261	Rhizobium_croatiense	GSC145	Commercial_navy	Sample_11	phaseoli_y-a
QUR0260	Rhizobium_sophoriradicis	GSC152	Commercial_navy	Sample_18	phaseoli_y-a
QUR0259	Rhizobium_sophoriradicis	GSC152	Commercial_navy	Sample_18	phaseoli_y-a
QUR0258	Rhizobium_croatiense	GSC146	Commercial_navy	Sample_12	phaseoli_y-a
QUR0257	Rhizobium_croatiense	GSC145	Commercial_navy	Sample_11	phaseoli_y-a
QUR0228	Rhizobium_croatiense	GSC145	Heritage_kidney	Sample_20	phaseoli_y-a
QUR0227	Rhizobium_croatiense	GSC145	Heritage_navy	Sample_29	phaseoli_y-a
QUR0226	Rhizobium_laguerreae	GSC147	Heritage_navy	Sample_31	phaseoli_y-a
QUR0225	Rhizobium_spB	GSC145	Heritage_kidney	Sample_20	phaseoli_a
QUR0214	Rhizobium_leguminosarum	GSC152	Heritage_kidney	Sample_27	phaseoli_y-a
QUR0213	Rhizobium_leguminosarum	GSC152	Heritage_kidney	Sample_27	phaseoli_y-a
QUR0212	Rhizobium_sophoriradicis	GSC152	Heritage_kidney	Sample_27	phaseoli_y-a
QUR0211	Rhizobium_leguminosarum	GSC152	Heritage_kidney	Sample_27	phaseoli_y-a
QUR0210	Rhizobium_leguminosarum	GSC152	Heritage_kidney	Sample_27	phaseoli_y-a
QUR0209	Rhizobium_anhuiense	GSC152	Heritage_kidney	Sample_27	phaseoli_y-a
QUR0208	Rhizobium_spA	GSC144	Heritage_kidney	Sample_19	phaseoli_a
QUR0207	Rhizobium_anhuiense	GSC144	Heritage_kidney	Sample_19	phaseoli_y-a
QUR0206	Rhizobium_binxianense	GSC144	Heritage_kidney	Sample_19	phaseoli_a
QUR0205	Rhizobium_anhuiense	GSC144	Heritage_kidney	Sample_19	phaseoli_y-a
QUR0204	Rhizobium_anhuiense	GSC144	Heritage_kidney	Sample_19	phaseoli_y-a
QUR0203	Rhizobium_anhuiense	GSC144	Heritage_kidney	Sample_19	phaseoli_y-a
QUR0202	Rhizobium_sophoriradicis	GSC151	Commercial_navy	Sample_17	phaseoli_y-a
QUR0201	Rhizobium_sophoriradicis	GSC151	Commercial_navy	Sample_17	phaseoli_y-a
QUR0200	Rhizobium_sophoriradicis	GSC151	Commercial_navy	Sample_17	phaseoli_y-a
QUR0199	Rhizobium_sophoriradicis	GSC151	Commercial_navy	Sample_17	phaseoli_y-a
QUR0198	Rhizobium_sophoriradicis	GSC151	Commercial_navy	Sample_17	phaseoli_y-a
QUR0197	Rhizobium_sophoriradicis	GSC151	Commercial_navy	Sample_17	phaseoli_y-a
QUR0196	Rhizobium_anhuiense	GSC151	Commercial_kidney	Sample_8	phaseoli_y-a
QUR0195	Rhizobium_anhuiense	GSC151	Commercial_kidney	Sample_8	phaseoli_y-a
QUR0194	Rhizobium_anhuiense	GSC151	Commercial_kidney	Sample_8	phaseoli_y-a
QUR0192	Rhizobium_sophoriradicis	GSC151	Commercial_kidney	Sample_8	phaseoli_y-a
QUR0191	Rhizobium_binxianense	GSC151	Commercial_kidney	Sample_8	phaseoli_a
QUR0190	Rhizobium_croatiense	GSC148	Heritage_navy	Sample_32	phaseoli_y-b
QUR0189	Rhizobium_sophoriradicis	GSC148	Heritage_navy	Sample_32	phaseoli_y-b
QUR0188	Rhizobium_spB	GSC148	Heritage_navy	Sample_32	phaseoli_a
QUR0187	Rhizobium_mongolense	GSC148	Heritage_navy	Sample_32	gallicum
QUR0186	Rhizobium_leguminosarum	GSC148	Heritage_navy	Sample_32	phaseoli_y-a
QUR0185	Rhizobium_croatiense	GSC148	Heritage_navy	Sample_32	phaseoli_y-a
QUR0184	Rhizobium_croatiense	GSC145	Heritage_navy	Sample_29	phaseoli_y-a
QUR0183	Rhizobium_croatiense	GSC145	Heritage_navy	Sample_29	phaseoli_y-b
QUR0181	Rhizobium_croatiense	GSC145	Heritage_navy	Sample_29	phaseoli_y-a
QUR0180	Rhizobium_johnstonii	GSC149	Commercial_navy	Sample_15	phaseoli_y-a
QUR0179	Rhizobium_johnstonii	GSC149	Commercial_navy	Sample_15	phaseoli_y-a
QUR0178	Rhizobium_johnstonii	GSC149	Commercial_navy	Sample_15	phaseoli_y-a
QUR0177	Rhizobium_leguminosarum	GSC149	Commercial_navy	Sample_15	phaseoli_y-a
QUR0176	Rhizobium_johnstonii	GSC149	Commercial_navy	Sample_15	phaseoli_y-a
QUR0175	Rhizobium_johnstonii	GSC149	Commercial_navy	Sample_15	phaseoli_y-a
QUR0174	Rhizobium_croatiense	GSC150	Commercial_navy	Sample_16	phaseoli_a
QUR0173	Rhizobium_croatiense	GSC150	Commercial_navy	Sample_16	phaseoli_a
QUR0172	Rhizobium_hidalgonense	GSC150	Commercial_navy	Sample_16	phaseoli_y-a
QUR0171	Rhizobium_croatiense	GSC150	Commercial_navy	Sample_16	phaseoli_a
QUR0170	Rhizobium_binxianense	GSC150	Commercial_navy	Sample_16	phaseoli_y-b
QUR0169	Rhizobium_leguminosarum	GSC150	Commercial_navy	Sample_16	phaseoli_y-a
QUR0168	Rhizobium_croatiense	GSC146	Heritage_navy	Sample_30	phaseoli_y-a
QUR0167	Rhizobium_croatiense	GSC146	Heritage_navy	Sample_30	phaseoli_y-a
QUR0166	Rhizobium_croatiense	GSC146	Heritage_navy	Sample_30	phaseoli_y-a
QUR0165	Rhizobium_croatiense	GSC146	Heritage_navy	Sample_30	phaseoli_y-a
QUR0164	Rhizobium_mongolense	GSC146	Heritage_navy	Sample_30	gallicum
QUR0163	Rhizobium_croatiense	GSC146	Heritage_navy	Sample_30	phaseoli_y-a
QUR0162	Rhizobium_croatiense	GSC147	Heritage_navy	Sample_31	phaseoli_y-b
QUR0161	Rhizobium_croatiense	GSC147	Heritage_navy	Sample_31	phaseoli_y-b
QUR0160	Rhizobium_croatiense	GSC147	Heritage_navy	Sample_31	phaseoli_y-b
QUR0159	Rhizobium_laguerreae	GSC147	Heritage_navy	Sample_31	phaseoli_y-a
QUR0158	Rhizobium_croatiense	GSC147	Heritage_navy	Sample_31	phaseoli_y-b
QUR0157	Rhizobium_leguminosarum	GSC148	Heritage_kidney	Sample_23	phaseoli_y-a
QUR0156	Rhizobium_croatiense	GSC148	Heritage_kidney	Sample_23	phaseoli_y-a
QUR0155	Rhizobium_croatiense	GSC148	Heritage_kidney	Sample_23	phaseoli_y-b
QUR0154	Rhizobium_croatiense	GSC148	Heritage_kidney	Sample_23	phaseoli_y-a
QUR0153	Rhizobium_croatiense	GSC148	Heritage_kidney	Sample_23	phaseoli_y-b
QUR0152	Rhizobium_croatiense	GSC146	Heritage_kidney	Sample_21	phaseoli_y-a
QUR0151	Rhizobium_croatiense	GSC146	Heritage_kidney	Sample_21	phaseoli_y-a
QUR0150	Rhizobium_croatiense	GSC146	Heritage_kidney	Sample_21	phaseoli_y-a
QUR0149	Rhizobium_croatiense	GSC146	Heritage_kidney	Sample_21	phaseoli_y-a
QUR0145	Rhizobium_johnstonii	GSC149	Heritage_kidney	Sample_24	phaseoli_y-a
QUR0144	Rhizobium_johnstonii	GSC149	Heritage_kidney	Sample_24	phaseoli_y-a
QUR0143	Rhizobium_johnstonii	GSC149	Heritage_kidney	Sample_24	phaseoli_y-a
QUR0142	Rhizobium_johnstonii	GSC149	Heritage_kidney	Sample_24	phaseoli_y-a
QUR0141	Rhizobium_johnstonii	GSC149	Heritage_kidney	Sample_24	phaseoli_y-a
QUR0140	Rhizobium_johnstonii	GSC149	Heritage_kidney	Sample_24	phaseoli_y-a
QUR0139	Rhizobium_leguminosarum	GSC150	Heritage_kidney	Sample_25	phaseoli_y-a
QUR0138	Rhizobium_leguminosarum	GSC150	Heritage_kidney	Sample_25	phaseoli_y-a
QUR0137	Rhizobium_croatiense	GSC150	Heritage_kidney	Sample_25	phaseoli_y-b
QUR0136	Rhizobium_leguminosarum	GSC150	Heritage_kidney	Sample_25	phaseoli_a
QUR0135	Rhizobium_binxianense	GSC150	Heritage_kidney	Sample_25	phaseoli_a
QUR0134	Rhizobium_croatiense	GSC150	Heritage_kidney	Sample_25	phaseoli_y-b
QUR0133	Rhizobium_croatiense	GSC145	Heritage_kidney	Sample_20	phaseoli_y-a
QUR0132	Rhizobium_croatiense	GSC145	Heritage_kidney	Sample_20	phaseoli_y-a
QUR0131	Rhizobium_sophoriradicis	GSC152	Commercial_navy	Sample_18	phaseoli_y-a
QUR0130	Rhizobium_croatiense	GSC147	Heritage_kidney	Sample_22	phaseoli_y-b
QUR0129	Rhizobium_leguminosarum	GSC147	Heritage_kidney	Sample_22	phaseoli_y-a
QUR0128	Rhizobium_johnstonii	GSC149	Commercial_navy	Sample_15	phaseoli_y-a
QUR0126	Rhizobium_croatiense	GSC147	Heritage_kidney	Sample_22	phaseoli_y-b
QUR0125	Rhizobium_sophoriradicis	GSC147	Heritage_kidney	Sample_22	phaseoli_y-b
QUR0123	Rhizobium_anhuiense	GSC152	Commercial_navy	Sample_18	phaseoli_y-a
QUR0122	Rhizobium_leguminosarum	GSC147	Heritage_kidney	Sample_22	phaseoli_y-a
QUR0121	Rhizobium_leguminosarum	GSC152	Commercial_navy	Sample_18	phaseoli_y-a
QUR0120	Rhizobium_leguminosarum	GSC152	Commercial_navy	Sample_18	phaseoli_y-a
QUR0119	Rhizobium_sophoriradicis	GSC152	Commercial_navy	Sample_18	phaseoli_y-a
QUR0117	Rhizobium_croatiense	GSC147	Heritage_kidney	Sample_22	phaseoli_y-a
QUR0116	Rhizobium_croatiense	GSC148	Commercial_navy	Sample_14	phaseoli_y-a
QUR0115	Rhizobium_croatiense	GSC145	Commercial_kidney	Sample_2	phaseoli_y-a
QUR0114	Rhizobium_croatiense	GSC145	Commercial_kidney	Sample_2	phaseoli_y-a
QUR0113	Rhizobium_croatiense	GSC144	Commercial_kidney	Sample_1	phaseoli_y-b
QUR0112	Rhizobium_laguerreae	GSC144	Commercial_kidney	Sample_1	phaseoli_y-a
QUR0111	Rhizobium_croatiense	GSC144	Commercial_kidney	Sample_1	phaseoli_y-a
QUR0110	Rhizobium_leguminosarum	GSC144	Commercial_navy	Sample_10	phaseoli_y-a
QUR0109	Rhizobium_anhuiense	GSC144	Commercial_navy	Sample_10	phaseoli_y-a
QUR0108	Rhizobium_spA	GSC144	Commercial_navy	Sample_10	phaseoli_a
QUR0107	Rhizobium_spB	GSC148	Commercial_kidney	Sample_5	phaseoli_a
QUR0106	Rhizobium_croatiense	GSC148	Commercial_kidney	Sample_5	phaseoli_y-a
QUR0105	Rhizobium_leguminosarum	GSC148	Commercial_kidney	Sample_5	phaseoli_y-a
QUR0104	Rhizobium_leguminosarum	GSC148	Commercial_kidney	Sample_5	phaseoli_y-a
QUR0103	Rhizobium_croatiense	GSC148	Commercial_kidney	Sample_5	phaseoli_y-b
QUR0102	Rhizobium_johnstonii	GSC149	Commercial_kidney	Sample_6	phaseoli_y-a
QUR0101	Rhizobium_johnstonii	GSC149	Commercial_kidney	Sample_6	phaseoli_y-a
QUR0100	Rhizobium_johnstonii	GSC149	Commercial_kidney	Sample_6	phaseoli_y-a
QUR0099	Rhizobium_johnstonii	GSC149	Commercial_kidney	Sample_6	phaseoli_y-a
QUR0098	Rhizobium_johnstonii	GSC149	Commercial_kidney	Sample_6	phaseoli_y-a
QUR0096	Rhizobium_anhuiense	GSC149	Commercial_navy	Sample_15	phaseoli_y-a
QUR0095	Rhizobium_sophoriradicis	GSC152	Heritage_navy	Sample_36	phaseoli_y-a
QUR0094	Rhizobium_anhuiense	GSC152	Heritage_navy	Sample_36	phaseoli_y-a
QUR0093	Rhizobium_spA	GSC152	Heritage_navy	Sample_36	phaseoli_a
QUR0092	Rhizobium_spA	GSC152	Heritage_navy	Sample_36	phaseoli_a
QUR0091	Rhizobium_sophoriradicis	GSC152	Heritage_navy	Sample_36	phaseoli_y-a
QUR0090	Rhizobium_croatiense	GSC147	Commercial_navy	Sample_13	phaseoli_y-b
QUR0089	Rhizobium_croatiense	GSC147	Commercial_navy	Sample_13	phaseoli_y-a
