Strain	Species	Nitrogen 	Rep 	Block 	Position 	Biomass
Uninoculated	Uninoculated 	5	1	1	14	0.18
Uninoculated	Uninoculated 	5	2	2	2	0.37
Uninoculated	Uninoculated 	5	3	3	8	0.48
Uninoculated	Uninoculated 	5	4	4	25	0.61
Uninoculated	Uninoculated 	5	5	5	23	0.45
Rhizobium_spA_QUR0029	Rhizobium_spA	5	1	1	22	1.67
Rhizobium_spA_QUR0029	Rhizobium_spA	5	2	2	18	1.65
Rhizobium_spA_QUR0029	Rhizobium_spA	5	3	3	9	2.77
Rhizobium_spA_QUR0029	Rhizobium_spA	5	4	4	14	2.92
Rhizobium_spA_QUR0029	Rhizobium_spA	5	5	5	15	3.97
Rhizobium_mongolense_QUR0056 	Rhizobium_mongolense	5	1	1	21	0.85
Rhizobium_mongolense_QUR0056 	Rhizobium_mongolense	5	2	2	6	1.96
Rhizobium_mongolense_QUR0056 	Rhizobium_mongolense	5	3	3	4	3.05
Rhizobium_mongolense_QUR0056 	Rhizobium_mongolense	5	4	4	21	2.49
Rhizobium_mongolense_QUR0056 	Rhizobium_mongolense	5	5	5	12	1.98
Rhizobium_spA_QUR0070	Rhizobium_spA	5	1	1	13	1.77
Rhizobium_spA_QUR0070	Rhizobium_spA	5	2	2	23	0.9
Rhizobium_spA_QUR0070	Rhizobium_spA	5	3	3	1	3.17
Rhizobium_spA_QUR0070	Rhizobium_spA	5	4	4	9	2.2
Rhizobium_spA_QUR0070	Rhizobium_spA	5	5	5	13	3.2
Rhizobium_spA_QUR0071	Rhizobium_spA	5	1	1	26	0.94
Rhizobium_spA_QUR0071	Rhizobium_spA	5	2	2	21	1.07
Rhizobium_spA_QUR0071	Rhizobium_spA	5	3	3	3	2.05
Rhizobium_spA_QUR0071	Rhizobium_spA	5	4	4	24	2.4
Rhizobium_spA_QUR0071	Rhizobium_spA	5	5	5	3	1.69
Rhizobium_mongolense_QUR0080 	Rhizobium_mongolense	5	1	1	19	1.52
Rhizobium_mongolense_QUR0080 	Rhizobium_mongolense	5	2	2	9	1.76
Rhizobium_mongolense_QUR0080 	Rhizobium_mongolense	5	3	3	25	2.3
Rhizobium_mongolense_QUR0080 	Rhizobium_mongolense	5	4	4	17	3.1
Rhizobium_mongolense_QUR0080 	Rhizobium_mongolense	5	5	5	4	3.56
Rhizobium_croatiense_QUR0087	Rhizobium_croatiense	5	1	1	5	1.37
Rhizobium_croatiense_QUR0087	Rhizobium_croatiense	5	2	2	26	1.51
Rhizobium_croatiense_QUR0087	Rhizobium_croatiense	5	3	3	6	2.83
Rhizobium_croatiense_QUR0087	Rhizobium_croatiense	5	4	4	26	3.16
Rhizobium_croatiense_QUR0087	Rhizobium_croatiense	5	5	5	20	4.24
Rhizobium_croatiense_QUR0090	Rhizobium_croatiense	5	1	1	24	0.94
Rhizobium_croatiense_QUR0090	Rhizobium_croatiense	5	2	2	7	1.15
Rhizobium_croatiense_QUR0090	Rhizobium_croatiense	5	3	3	21	1.34
Rhizobium_croatiense_QUR0090	Rhizobium_croatiense	5	4	4	1	3.26
Rhizobium_croatiense_QUR0090	Rhizobium_croatiense	5	5	5	16	3.81
Rhizobium_croatiense_QUR0134	Rhizobium_croatiense	5	1	1	11	1.08
Rhizobium_croatiense_QUR0134	Rhizobium_croatiense	5	2	2	25	1.52
Rhizobium_croatiense_QUR0134	Rhizobium_croatiense	5	3	3	22	2.88
Rhizobium_croatiense_QUR0134	Rhizobium_croatiense	5	4	4	22	1.7
Rhizobium_croatiense_QUR0134	Rhizobium_croatiense	5	5	5	2	2.36
Rhizobium_laguerreae_QUR0159 	Rhizobium_laguerreae	5	1	1	25	0.38
Rhizobium_laguerreae_QUR0159 	Rhizobium_laguerreae	5	2	2	15	0.52
Rhizobium_laguerreae_QUR0159 	Rhizobium_laguerreae	5	3	3	19	0.8
Rhizobium_laguerreae_QUR0159 	Rhizobium_laguerreae	5	4	4	4	0.24
Rhizobium_laguerreae_QUR0159 	Rhizobium_laguerreae	5	5	5	7	0.4
Rhizobium_spA_QUR0208	Rhizobium_spA	5	1	1	4	2.25
Rhizobium_spA_QUR0208	Rhizobium_spA	5	2	2	3	0.91
Rhizobium_spA_QUR0208	Rhizobium_spA	5	3	3	7	2.08
Rhizobium_spA_QUR0208	Rhizobium_spA	5	4	4	13	3.38
Rhizobium_spA_QUR0208	Rhizobium_spA	5	5	5	18	2.77
Rhizobium_laguerreae_QUR0226	Rhizobium_laguerreae	5	1	1	15	0.48
Rhizobium_laguerreae_QUR0226	Rhizobium_laguerreae	5	2	2	24	0.51
Rhizobium_laguerreae_QUR0226	Rhizobium_laguerreae	5	3	3	16	0.76
Rhizobium_laguerreae_QUR0226	Rhizobium_laguerreae	5	4	4	2	1.31
Rhizobium_laguerreae_QUR0226	Rhizobium_laguerreae	5	5	5	5	1.3
Rhizobium_croatiense_QUR0258	Rhizobium_croatiense	5	1	1	7	2.39
Rhizobium_croatiense_QUR0258	Rhizobium_croatiense	5	2	2	16	1.34
Rhizobium_croatiense_QUR0258	Rhizobium_croatiense	5	3	3	12	3.12
Rhizobium_croatiense_QUR0258	Rhizobium_croatiense	5	4	4	19	1.91
Rhizobium_croatiense_QUR0258	Rhizobium_croatiense	5	5	5	11	2.85
