Strain_name	Species_classification	Symbiovar	Plant_Shoot_Dry_Weight	NDVI_Wk1_Nov22	NDVI_Wk2_Nov29	NDVI_Wk3_Dec6	NDVI_Wk4_Dec13	NDVI_Wk5_Dec20
QUR0001	Rhizobium_sophoriradicis	phaseoli_y-a	2.72	0.6364	0.5394	0.684	0.6598	0.677
QUR0002	Rhizobium_sophoriradicis	phaseoli_y-a	2.1	0.6135	0.5453	0.6978	0.6695	0.6807
QUR0003	Rhizobium_sophoriradicis	phaseoli_y-a	1.09	0.6719	0.5909	0.6485	0.6906	0.6757
QUR0004	Rhizobium_anhuiense	phaseoli_y-a	0.09	NA	NA	NA	0.4903	0.6354
QUR0005	Rhizobium_sophoriradicis	phaseoli_y-a	1.31	0.6604	0.5936	0.6661	0.6863	0.6717
QUR0006	Rhizobium_sophoriradicis	phaseoli_y-a	1.64	0.6189	0.5362	0.6767	0.6712	0.6578
QUR0007	Rhizobium_sophoriradicis	phaseoli_y-a	1.47	0.6309	0.5426	0.617	0.6716	0.664
QUR0009	Rhizobium_sophoriradicis	phaseoli_y-a	1.94	0.6066	0.55	0.6795	0.685	0.6769
QUR0010	Rhizobium_anhuiense	phaseoli_y-a	1.37	0.6481	0.5415	0.5805	0.7121	0.6694
QUR0011	Rhizobium_croatiense	phaseoli_y-a	2.31	0.6382	0.5882	0.6357	0.6561	0.6534
QUR0012	Rhizobium_anhuiense	phaseoli_y-a	1.08	0.6542	0.577	0.5527	0.6757	0.6505
QUR0013	Rhizobium_anhuiense	phaseoli_y-a	2.11	0.6169	0.5458	0.6814	0.6503	0.6503
QUR0014	Rhizobium_anhuiense	phaseoli_y-a	1.65	NA	0.6134	0.6561	0.6892	0.6569
QUR0015	Rhizobium_anhuiense	phaseoli_y-a	2.02	0.6722	0.5895	0.6637	0.673	0.6631
QUR0016	Rhizobium_croatiense	phaseoli_y-a	0.33	0.6032	0.5455	0.496	0.6662	0.6301
QUR0017	Rhizobium_croatiense	phaseoli_y-a	1.64	0.6589	0.5684	0.6569	0.6749	0.6569
QUR0018	Rhizobium_croatiense	phaseoli_y-a	0.8	0.6355	0.5732	0.4619	0.5658	0.6486
QUR0019	Rhizobium_croatiense	phaseoli_y-a	0.75	0.6096	0.562	0.4997	0.6346	0.6396
QUR0020	Rhizobium_anhuiense	phaseoli_y-a	1.59	0.6468	0.5643	0.6623	0.6964	0.659
QUR0021	Rhizobium_anhuiense	phaseoli_y-a	1.88	0.6287	0.5474	0.6761	0.6693	0.649
QUR0022	Rhizobium_anhuiense	phaseoli_y-a	2.59	0.6188	0.5513	0.661	0.6589	0.6426
QUR0023	Rhizobium_anhuiense	phaseoli_y-a	2.44	0.6045	0.5369	0.6931	0.6693	0.6694
QUR0024	Rhizobium_binxianense	phaseoli_a	1.3	0.6106	0.5293	0.6238	0.6622	0.6669
QUR0028	Rhizobium_leguminosarum	phaseoli_y-a	2.03	0.6498	0.511	0.65	0.6812	0.6519
QUR0029	Rhizobium_spA	phaseoli_a	2.82	0.615	0.5774	0.672	0.6778	0.6508
QUR0030	Rhizobium_leguminosarum	phaseoli_y-a	1.1	0.5763	0.5858	0.6259	0.6396	0.647
QUR0031	Rhizobium_leguminosarum	phaseoli_y-a	1.6	0.607	0.526	0.6605	0.6877	0.6479
QUR0032	Rhizobium_croatiense	phaseoli_y-a	2.36	0.635	0.5677	0.6563	0.6756	0.6341
QUR0033	Rhizobium_croatiense	phaseoli_a	1.92	0.6153	0.6028	0.6341	0.6764	0.6436
QUR0034	Rhizobium_croatiense	phaseoli_y-b	1.61	0.6796	0.6789	0.5845	0.6779	0.6552
QUR0035	Rhizobium_leguminosarum	phaseoli_y-a	1.93	0.6755	0.5498	0.615	0.6708	0.6663
QUR0036	Rhizobium_croatiense	phaseoli_y-b	1.68	0.597	0.5356	0.6806	0.6652	0.6636
QUR0037	Rhizobium_croatiense	phaseoli_y-b	2.42	0.6276	0.5531	0.6647	0.6681	0.6478
QUR0038	Rhizobium_croatiense	phaseoli_y-b	0.77	0.6386	0.5321	0.6	0.6668	0.6059
QUR0039	Rhizobium_croatiense	phaseoli_y-a	0.83	0.616	0.5397	0.5232	0.65	0.5952
QUR0040	Rhizobium_anhuiense	phaseoli_y-a	2.12	0.6671	0.5784	0.6785	0.6892	0.6594
QUR0041	Rhizobium_anhuiense	phaseoli_y-a	2.44	0.5994	0.5914	0.6845	0.6895	0.6655
QUR0042	Rhizobium_spA	phaseoli_a	2.24	0.6192	0.5761	0.6654	0.6753	0.6706
QUR0043	Rhizobium_croatiense	phaseoli_y-a	1.33	0.6121	0.5297	0.6769	0.6852	0.6585
QUR0044	Rhizobium_spB	phaseoli_a	1.61	0.607	0.5342	0.6216	0.6838	0.7034
QUR0045	Rhizobium_croatiense	phaseoli_y-a	1.15	0.6665	0.5508	0.5182	0.6748	0.6623
QUR0046	Rhizobium_croatiense	phaseoli_y-b	0.06	0.6414	0.4957	0.3974	0.1982	0.145
QUR0047	Rhizobium_spB	phaseoli_a	2.43	0.614	0.531	0.6398	0.7033	0.6687
QUR0048	Rhizobium_croatiense	phaseoli_y-a	1.56	0.5839	0.4984	0.6785	0.6746	0.6766
QUR0049	Rhizobium_johnstonii	phaseoli_y-a	2.53	0.5132	0.5724	0.6811	0.6664	0.6588
QUR0050	Rhizobium_leguminosarum	phaseoli_a	0.82	0.5897	0.5064	0.6689	0.6794	0.6531
QUR0051	Rhizobium_leguminosarum	phaseoli_y-a	1.41	0.591	0.5158	0.684	0.6991	0.6896
QUR0052	Rhizobium_sophoriradicis	phaseoli_y-a	2.97	0.5947	0.5787	0.6699	0.6819	0.6378
QUR0053	Rhizobium_croatiense	phaseoli_y-a	1.52	0.605	0.549	0.5569	0.6814	0.6768
QUR0054	Rhizobium_croatiense	phaseoli_y-a	0.52	0.5906	0.5117	0.6036	0.6475	0.5996
QUR0055	Rhizobium_croatiense	phaseoli_y-a	0.88	0.5941	0.5267	0.5154	0.6896	0.6731
QUR0056	Rhizobium_mongolense	gallicum	2.14	0.6322	0.5653	0.6602	0.6837	0.6727
QUR0057	Rhizobium_croatiense	phaseoli_y-a	1.2	0.6131	0.5349	0.4979	0.6581	0.6965
QUR0058	Rhizobium_croatiense	phaseoli_y-a	0.73	0.6268	0.5217	0.4683	0.6729	0.6543
QUR0059	Rhizobium_sophoriradicis	phaseoli_y-a	0.47	NA	NA	0.6175	0.6886	0.608
QUR0060	Rhizobium_sophoriradicis	phaseoli_y-a	1.82	0.612	0.554	0.6801	0.677	0.6753
QUR0061	Rhizobium_johnstonii	phaseoli_y-a	1.61	0.6162	0.5047	0.6731	0.6953	0.6758
QUR0062	Rhizobium_leguminosarum	phaseoli_y-b	2.81	0.6284	0.5734	0.6236	0.701	0.6493
QUR0063	Rhizobium_spA	phaseoli_a	2.57	0.6423	0.5847	0.6764	0.6713	0.6413
QUR0064	Rhizobium_johnstonii	phaseoli_y-a	2.41	0.6304	0.5553	0.6769	0.6634	0.6477
QUR0065	Rhizobium_johnstonii	phaseoli_y-a	2.55	0.6436	0.5484	0.6782	0.6704	0.6626
QUR0067	Rhizobium_sophoriradicis	phaseoli_y-a	2.96	0.6101	0.5671	0.6707	0.6822	0.6651
