Sample 	Treatment	Nitrogen_mM 	Rhizobia	Biomass_g
1	Ongoing 	0	No 	0.11
2	Ongoing 	0	No 	0.11
3	Ongoing 	0	No 	0.09
4	Ongoing 	2.5	No 	1.67
5	Ongoing 	2.5	No 	2.08
6	Ongoing 	2.5	No 	1.92
7	Ongoing 	1	No 	0.68
8	Ongoing 	1	No 	0.53
9	Ongoing 	1	No 	0.56
10	Ongoing 	10	No 	4.55
11	Ongoing 	10	No 	4.51
12	Ongoing 	10	No 	3.74
13	Ongoing 	20	No 	3.63
14	Ongoing 	20	No 	4.57
15	Ongoing 	20	No 	4.58
16	Once	2.5	No 	0.24
17	Once	2.5	No 	0.22
18	Once	2.5	No 	0.21
19	Once	5	No 	0.45
20	Once	5	No 	0.37
21	Once	5	No 	0.49
22	Once	10	No 	0.76
23	Once	10	No 	0.76
24	Once	10	No 	1.15
25	Once	20	No 	1.26
26	Once	20	No 	1.91
27	Once	20	No 	0.78
28	Ongoing 	0	Yes	NA
29	Ongoing 	0	Yes	1.46
30	Ongoing 	0	Yes	1.86
31	Ongoing 	2.5	Yes	3.35
32	Ongoing 	2.5	Yes	NA
33	Ongoing 	2.5	Yes	2.5
34	Ongoing 	1	Yes	2.17
35	Ongoing 	1	Yes	2.13
36	Ongoing 	1	Yes	2.74
37	Ongoing 	10	Yes	3.08
38	Ongoing 	10	Yes	4.37
39	Ongoing 	10	Yes	4.24
40	Ongoing 	20	Yes	4.67
41	Ongoing 	20	Yes	1.84
42	Ongoing 	20	Yes	4.57
43	Once	2.5	Yes	2.37
44	Once	2.5	Yes	2.06
45	Once	2.5	Yes	1.79
46	Once	5	Yes	2.17
47	Once	5	Yes	2.5
48	Once	5	Yes	2.81
49	Once	10	Yes	2.46
50	Once	10	Yes	2.49
51	Once	10	Yes	2.51
52	Once	20	Yes	2.04
53	Once	20	Yes	2.96
54	Once	20	Yes	3.14
