molecule	name	type	position
Rhizobium_anhuiense_QUR0074	gap	gap	2113
Rhizobium_anhuiense_QUR0074	gap	gap	6387
Rhizobium_anhuiense_QUR0074	gap	gap	8974
Rhizobium_croatiense_QUR0011	gap	gap	2110
Rhizobium_croatiense_QUR0011	gap	gap	6383
Rhizobium_croatiense_QUR0011	gap	gap	8970
Rhizobium_croatiense_QUR0087	gap	gap	2113
Rhizobium_croatiense_QUR0087	gap	gap	6386
Rhizobium_croatiense_QUR0087	gap	gap	8973
Rhizobium_croatiense_QUR0154	gap	gap	2113
Rhizobium_croatiense_QUR0154	gap	gap	6387
Rhizobium_croatiense_QUR0154	gap	gap	8974
Rhizobium_croatiense_QUR0156	gap	gap	2113
Rhizobium_croatiense_QUR0156	gap	gap	6387
Rhizobium_croatiense_QUR0156	gap	gap	8974
Rhizobium_croatiense_QUR0171	gap	gap	2111
Rhizobium_croatiense_QUR0171	gap	gap	6384
Rhizobium_croatiense_QUR0171	gap	gap	8971
Rhizobium_hidalgonense_QUR0172	gap	gap	2111
Rhizobium_hidalgonense_QUR0172	gap	gap	6385
Rhizobium_hidalgonense_QUR0172	gap	gap	8972
Rhizobium_johnstonii_QUR0098	gap	gap	2111
Rhizobium_johnstonii_QUR0098	gap	gap	6385
Rhizobium_johnstonii_QUR0098	gap	gap	8972
Rhizobium_laguerreae_QUR0112	gap	gap	2111
Rhizobium_laguerreae_QUR0112	gap	gap	6385
Rhizobium_laguerreae_QUR0112	gap	gap	8972
Rhizobium_leguminosarum_QUR0050	gap	gap	2113
Rhizobium_leguminosarum_QUR0050	gap	gap	6386
Rhizobium_leguminosarum_QUR0050	gap	gap	8973
Rhizobium_leguminosarum_QUR0062	gap	gap	2111
Rhizobium_leguminosarum_QUR0062	gap	gap	9618
Rhizobium_leguminosarum_QUR0062	gap	gap	12205
Rhizobium_leguminosarum_QUR0136	gap	gap	2111
Rhizobium_leguminosarum_QUR0136	gap	gap	6384
Rhizobium_leguminosarum_QUR0136	gap	gap	8971
Rhizobium_leguminosarum_QUR0177	gap	gap	2113
Rhizobium_leguminosarum_QUR0177	gap	gap	6387
Rhizobium_leguminosarum_QUR0177	gap	gap	8974
Rhizobium_leguminosarum_QUR0210	gap	gap	2111
Rhizobium_leguminosarum_QUR0210	gap	gap	6385
Rhizobium_leguminosarum_QUR0210	gap	gap	8972
Rhizobium_sophoriradicis_QUR0003	gap	gap	2113
Rhizobium_sophoriradicis_QUR0003	gap	gap	6386
Rhizobium_sophoriradicis_QUR0003	gap	gap	8973
Rhizobium_sp_QUR0071	gap	gap	2113
Rhizobium_sp_QUR0071	gap	gap	6386
Rhizobium_sp_QUR0071	gap	gap	8973
Rhizobium_sp_QUR0108	gap	gap	2111
Rhizobium_sp_QUR0108	gap	gap	6384
Rhizobium_sp_QUR0108	gap	gap	8971
Rhizobium_sp_QUR0225	gap	gap	2113
Rhizobium_sp_QUR0225	gap	gap	6386
Rhizobium_sp_QUR0225	gap	gap	8973
Rhizobium_croatiense_QUR0161	gap	gap	2113
Rhizobium_croatiense_QUR0161	gap	gap	9620
Rhizobium_croatiense_QUR0161	gap	gap	12207
Rhizobium_croatiense_QUR0168	gap	gap	2111
Rhizobium_croatiense_QUR0168	gap	gap	6385
Rhizobium_croatiense_QUR0168	gap	gap	8972
Rhizobium_sp_QUR0188	gap	gap	2111
Rhizobium_sp_QUR0188	gap	gap	6384
Rhizobium_sp_QUR0188	gap	gap	8971
Rhizobium_leguminosarum_QUR0186	gap	gap	2113
Rhizobium_leguminosarum_QUR0186	gap	gap	6387
Rhizobium_leguminosarum_QUR0186	gap	gap	8974
Rhizobium_mongolense_QUR0164	gap	gap	2002
Rhizobium_mongolense_QUR0164	gap	gap	8381
Rhizobium_mongolense_QUR0164	gap	gap	12201
