molecule	locus	gene	start	end	strand	orientation	pseudo
Rhizobium_anhuiense_QUR0074	pgaptmp_000116	nolL	1	1113	forward	1	0
Rhizobium_anhuiense_QUR0074	pgaptmp_000130	nodD	3113	4021	forward	1	0
Rhizobium_anhuiense_QUR0074	pgaptmp_000131	nodD	4431	5387	reverse	0	0
Rhizobium_anhuiense_QUR0074	pgaptmp_000139	nodA	7387	7974	forward	1	0
Rhizobium_anhuiense_QUR0074	pgaptmp_000170	nodZ	9974	10268	reverse	0	1
Rhizobium_anhuiense_QUR0074	pgaptmp_000171	nodB	10742	11401	forward	1	0
Rhizobium_anhuiense_QUR0074	pgaptmp_000172	nodC	11401	12732	forward	1	0
Rhizobium_anhuiense_QUR0074	pgaptmp_000173	nodS	12748	13365	forward	1	0
Rhizobium_anhuiense_QUR0074	pgaptmp_000174	nodU	13402	13599	forward	1	1
Rhizobium_anhuiense_QUR0074	pgaptmp_000175	nodU	13732	14018	forward	1	1
Rhizobium_anhuiense_QUR0074	pgaptmp_000176	nodI	14118	15032	forward	1	0
Rhizobium_anhuiense_QUR0074	pgaptmp_000177	nodJ	15036	15824	forward	1	0
Rhizobium_anhuiense_QUR0074	pgaptmp_000178	other	16031	16447	forward	1	0
Rhizobium_anhuiense_QUR0074	pgaptmp_000179	other	16633	16971	forward	1	0
Rhizobium_anhuiense_QUR0074	pgaptmp_000179	other	16973	17578	forward	1	0
Rhizobium_anhuiense_QUR0074	pgaptmp_000180	nodD	17847	18791	reverse	0	0
Rhizobium_anhuiense_QUR0074	pgaptmp_000181	nolE	18958	19290	reverse	0	0
Rhizobium_anhuiense_QUR0074	pgaptmp_000182	other	19833	20353	reverse	0	1
Rhizobium_anhuiense_QUR0074	pgaptmp_000183	other	20364	20646	reverse	0	1
Rhizobium_anhuiense_QUR0074	pgaptmp_000184	noeL	20721	21167	reverse	0	0
Rhizobium_anhuiense_QUR0074	pgaptmp_000185	nolO	21570	23627	reverse	0	0
Rhizobium_croatiense_QUR0011	pgaptmp_005397	nolL	1110	1	reverse	0	1
Rhizobium_croatiense_QUR0011	pgaptmp_005383	nodD	4018	3110	reverse	0	0
Rhizobium_croatiense_QUR0011	pgaptmp_005382	other	4447	4100	reverse	0	0
Rhizobium_croatiense_QUR0011	pgaptmp_005381	nodD	5383	4427	forward	1	0
Rhizobium_croatiense_QUR0011	pgaptmp_005373	nodA	7970	7383	reverse	0	0
Rhizobium_croatiense_QUR0011	pgaptmp_005343	nodZ	10264	9970	forward	1	1
Rhizobium_croatiense_QUR0011	pgaptmp_005342	nodB	11397	10738	reverse	0	0
Rhizobium_croatiense_QUR0011	pgaptmp_005341	nodC	12728	11397	reverse	0	0
Rhizobium_croatiense_QUR0011	pgaptmp_005340	nodS	13361	12744	reverse	0	0
Rhizobium_croatiense_QUR0011	pgaptmp_005339	nodU	13623	13406	reverse	0	1
Rhizobium_croatiense_QUR0011	pgaptmp_005338	nodI	14637	13687	reverse	0	0
Rhizobium_croatiense_QUR0011	pgaptmp_005337	nodJ	15429	14641	reverse	0	0
Rhizobium_croatiense_QUR0011	pgaptmp_005336	other	16052	15636	reverse	0	0
Rhizobium_croatiense_QUR0011	pgaptmp_005335	nodD	17343	16405	forward	1	0
Rhizobium_croatiense_QUR0011	pgaptmp_005334	nolE	17842	17510	forward	1	0
Rhizobium_croatiense_QUR0011	pgaptmp_005333	other	18901	18385	forward	1	1
Rhizobium_croatiense_QUR0011	pgaptmp_005332	other	19209	18915	forward	1	1
Rhizobium_croatiense_QUR0011	pgaptmp_005331	noeL	19941	19285	forward	1	0
Rhizobium_croatiense_QUR0011	pgaptmp_005330	nolO	22016	20136	forward	1	0
Rhizobium_croatiense_QUR0087	pgaptmp_001100	nolL	1	1113	forward	1	0
Rhizobium_croatiense_QUR0087	pgaptmp_001120	nodD	3113	4021	forward	1	0
Rhizobium_croatiense_QUR0087	pgaptmp_001121	other	4103	4450	forward	1	0
Rhizobium_croatiense_QUR0087	pgaptmp_001122	nodD	4430	5386	reverse	0	0
Rhizobium_croatiense_QUR0087	pgaptmp_001131	nodA	7386	7973	forward	1	0
Rhizobium_croatiense_QUR0087	pgaptmp_001157	nodZ	9973	10959	reverse	0	0
Rhizobium_croatiense_QUR0087	pgaptmp_001158	nodB	12587	13246	forward	1	0
Rhizobium_croatiense_QUR0087	pgaptmp_001159	nodC	13254	14585	forward	1	0
Rhizobium_croatiense_QUR0087	pgaptmp_001160	nodS	14601	15218	forward	1	0
Rhizobium_croatiense_QUR0087	pgaptmp_001161	nodU	15254	15457	forward	1	1
Rhizobium_croatiense_QUR0087	pgaptmp_001162	nodU	15587	15874	forward	1	1
Rhizobium_croatiense_QUR0087	pgaptmp_001163	nodI	15938	16888	forward	1	0
Rhizobium_croatiense_QUR0087	pgaptmp_001164	nodJ	16892	17680	forward	1	0
Rhizobium_croatiense_QUR0087	pgaptmp_001165	other	17887	18303	forward	1	0
Rhizobium_croatiense_QUR0087	pgaptmp_001166	nodD	18656	19594	reverse	0	0
Rhizobium_croatiense_QUR0087	pgaptmp_001167	nolE	19763	20095	reverse	0	0
Rhizobium_croatiense_QUR0087	pgaptmp_001168	other	20484	21153	reverse	0	1
Rhizobium_croatiense_QUR0087	pgaptmp_001169	other	21167	21461	reverse	0	1
Rhizobium_croatiense_QUR0087	pgaptmp_001170	other	21949	22299	reverse	0	0
Rhizobium_croatiense_QUR0087	pgaptmp_001171	other	22303	22734	reverse	0	0
Rhizobium_croatiense_QUR0087	pgaptmp_001172	noeL	22794	23189	reverse	0	0
Rhizobium_croatiense_QUR0087	pgaptmp_001173	nolO	23384	25441	reverse	0	0
Rhizobium_croatiense_QUR0154	pgaptmp_005423	nolL	1	1113	forward	1	0
Rhizobium_croatiense_QUR0154	pgaptmp_005437	nodD	3113	4021	forward	1	0
Rhizobium_croatiense_QUR0154	pgaptmp_005438	nodD	4431	5387	reverse	0	0
Rhizobium_croatiense_QUR0154	pgaptmp_005446	nodA	7387	7974	forward	1	0
Rhizobium_croatiense_QUR0154	pgaptmp_005476	nodZ	9974	10268	reverse	0	1
Rhizobium_croatiense_QUR0154	pgaptmp_005477	nodB	10742	11401	forward	1	0
Rhizobium_croatiense_QUR0154	pgaptmp_005478	nodC	11401	12732	forward	1	0
Rhizobium_croatiense_QUR0154	pgaptmp_005479	nodS	12748	13365	forward	1	0
Rhizobium_croatiense_QUR0154	pgaptmp_005480	nodU	13402	13599	forward	1	1
Rhizobium_croatiense_QUR0154	pgaptmp_005481	nodU	13732	14018	forward	1	1
Rhizobium_croatiense_QUR0154	pgaptmp_005482	nodI	14118	15032	forward	1	0
Rhizobium_croatiense_QUR0154	pgaptmp_005483	nodJ	15036	15824	forward	1	0
Rhizobium_croatiense_QUR0154	pgaptmp_005484	other	16031	16447	forward	1	0
Rhizobium_croatiense_QUR0154	pgaptmp_005485	other	16633	16971	forward	1	0
Rhizobium_croatiense_QUR0154	pgaptmp_005485	other	16973	17578	forward	1	0
Rhizobium_croatiense_QUR0154	pgaptmp_005486	nodD	17847	18791	reverse	0	0
Rhizobium_croatiense_QUR0154	pgaptmp_005487	nolE	18958	19290	reverse	0	0
Rhizobium_croatiense_QUR0154	pgaptmp_005488	other	19833	20353	reverse	0	1
Rhizobium_croatiense_QUR0154	pgaptmp_005489	other	20364	20646	reverse	0	1
Rhizobium_croatiense_QUR0154	pgaptmp_005490	noeL	20721	21188	reverse	0	0
Rhizobium_croatiense_QUR0154	pgaptmp_005491	nolO	21570	23627	reverse	0	0
Rhizobium_croatiense_QUR0156	pgaptmp_000473	nolL	1	1113	forward	1	0
Rhizobium_croatiense_QUR0156	pgaptmp_000487	nodD	3113	4021	forward	1	0
Rhizobium_croatiense_QUR0156	pgaptmp_000488	nodD	4431	5387	reverse	0	0
Rhizobium_croatiense_QUR0156	pgaptmp_000496	nodA	7387	7974	forward	1	0
Rhizobium_croatiense_QUR0156	pgaptmp_000527	nodZ	9974	10268	reverse	0	1
Rhizobium_croatiense_QUR0156	pgaptmp_000528	nodB	10742	11401	forward	1	0
Rhizobium_croatiense_QUR0156	pgaptmp_000529	nodC	11401	12732	forward	1	0
Rhizobium_croatiense_QUR0156	pgaptmp_000530	nodS	12748	13365	forward	1	0
Rhizobium_croatiense_QUR0156	pgaptmp_000531	nodU	13402	13599	forward	1	1
Rhizobium_croatiense_QUR0156	pgaptmp_000532	nodU	13732	14018	forward	1	1
Rhizobium_croatiense_QUR0156	pgaptmp_000533	nodI	14118	15032	forward	1	0
Rhizobium_croatiense_QUR0156	pgaptmp_000534	nodJ	15036	15824	forward	1	0
Rhizobium_croatiense_QUR0156	pgaptmp_000535	other	16031	16447	forward	1	0
Rhizobium_croatiense_QUR0156	pgaptmp_000536	other	16633	16971	forward	1	0
Rhizobium_croatiense_QUR0156	pgaptmp_000536	other	16973	17578	forward	1	0
Rhizobium_croatiense_QUR0156	pgaptmp_000537	nodD	17847	18791	reverse	0	0
Rhizobium_croatiense_QUR0156	pgaptmp_000538	nolE	18958	19290	reverse	0	0
Rhizobium_croatiense_QUR0156	pgaptmp_000539	other	19833	20353	reverse	0	1
Rhizobium_croatiense_QUR0156	pgaptmp_000540	other	20364	20646	reverse	0	1
Rhizobium_croatiense_QUR0156	pgaptmp_000541	noeL	20721	21188	reverse	0	0
Rhizobium_croatiense_QUR0156	pgaptmp_000542	nolO	21570	23627	reverse	0	0
Rhizobium_croatiense_QUR0171	pgaptmp_000160	nolL	1111	1	reverse	0	0
Rhizobium_croatiense_QUR0171	pgaptmp_000140	nodD	4019	3111	reverse	0	0
Rhizobium_croatiense_QUR0171	pgaptmp_000139	other	4448	4101	reverse	0	0
Rhizobium_croatiense_QUR0171	pgaptmp_000138	nodD	5384	4428	forward	1	0
Rhizobium_croatiense_QUR0171	pgaptmp_000129	nodA	7971	7384	reverse	0	0
Rhizobium_croatiense_QUR0171	pgaptmp_000102	nodZ	10957	9971	forward	1	0
Rhizobium_croatiense_QUR0171	pgaptmp_000101	nodB	13244	12585	reverse	0	0
Rhizobium_croatiense_QUR0171	pgaptmp_000100	nodC	14583	13252	reverse	0	0
Rhizobium_croatiense_QUR0171	pgaptmp_000099	nodS	15216	14599	reverse	0	0
Rhizobium_croatiense_QUR0171	pgaptmp_000098	nodU	15455	15252	reverse	0	1
Rhizobium_croatiense_QUR0171	pgaptmp_000097	nodU	15872	15585	reverse	0	1
Rhizobium_croatiense_QUR0171	pgaptmp_000096	nodI	16886	15972	reverse	0	0
Rhizobium_croatiense_QUR0171	pgaptmp_000095	nodJ	17678	16890	reverse	0	0
Rhizobium_croatiense_QUR0171	pgaptmp_000094	other	18301	17885	reverse	0	0
Rhizobium_croatiense_QUR0171	pgaptmp_000093	nodD	19592	18654	forward	1	0
Rhizobium_croatiense_QUR0171	pgaptmp_000092	nolE	20093	19761	forward	1	0
Rhizobium_croatiense_QUR0171	pgaptmp_000091	other	21151	20482	forward	1	1
Rhizobium_croatiense_QUR0171	pgaptmp_000090	other	21459	21165	forward	1	1
Rhizobium_croatiense_QUR0171	pgaptmp_000089	other	22297	21947	forward	1	0
Rhizobium_croatiense_QUR0171	pgaptmp_000088	other	22732	22301	forward	1	0
Rhizobium_croatiense_QUR0171	pgaptmp_000087	noeL	23187	22792	forward	1	0
Rhizobium_croatiense_QUR0171	pgaptmp_000086	nolO	25439	23382	forward	1	0
Rhizobium_hidalgonense_QUR0172	pgaptmp_005095	nolL	1111	1	reverse	0	0
Rhizobium_hidalgonense_QUR0172	pgaptmp_005081	nodD	4019	3111	reverse	0	0
Rhizobium_hidalgonense_QUR0172	pgaptmp_005080	nodD	5385	4429	forward	1	0
Rhizobium_hidalgonense_QUR0172	pgaptmp_005072	nodA	7972	7385	reverse	0	0
Rhizobium_hidalgonense_QUR0172	pgaptmp_005042	nodZ	10266	9972	forward	1	1
Rhizobium_hidalgonense_QUR0172	pgaptmp_005041	nodB	11399	10740	reverse	0	0
Rhizobium_hidalgonense_QUR0172	pgaptmp_005040	nodC	12730	11399	reverse	0	0
Rhizobium_hidalgonense_QUR0172	pgaptmp_005039	nodS	13363	12746	reverse	0	0
Rhizobium_hidalgonense_QUR0172	pgaptmp_005038	nodU	13597	13400	reverse	0	1
Rhizobium_hidalgonense_QUR0172	pgaptmp_005037	nodU	14016	13730	reverse	0	1
Rhizobium_hidalgonense_QUR0172	pgaptmp_005036	nodI	15030	14116	reverse	0	0
Rhizobium_hidalgonense_QUR0172	pgaptmp_005035	nodJ	15822	15034	reverse	0	0
Rhizobium_hidalgonense_QUR0172	pgaptmp_005034	other	16445	16029	reverse	0	0
Rhizobium_hidalgonense_QUR0172	pgaptmp_005033	other	17576	16971	reverse	0	0
