strain_name	CCASM_ID	Species	cultivar	soil	isolation_source	isolation_year	bioproject_accession	genome_status	genome_size	contig_count	proteins	pseudogenes	checkm_completeness	checkm_contamination	Symbiovar
QUR0004	CCASM_20003	Rhizobium_anhuiense	Heritage_kidney	GSC151	Nodule	2023	PRJNA1414687	draft	7288310	9	6785	171	99.92	0.13	phaseoli_y-a
QUR0010	CCASM_20008	Rhizobium_anhuiense	Commercial_kidney	GSC152	Nodule	2023	PRJNA1414687	complete	7083299	4	6572	163	99.8	0.03	phaseoli_y-a
QUR0012	CCASM_20010	Rhizobium_anhuiense	Commercial_kidney	GSC152	Nodule	2023	PRJNA1414687	draft	7470330	10	6920	223	100	0.13	phaseoli_y-a
QUR0013	CCASM_20011	Rhizobium_anhuiense	Commercial_kidney	GSC152	Nodule	2023	PRJNA1414687	draft	7534140	10	7011	224	100	0.13	phaseoli_y-a
QUR0014	CCASM_20012	Rhizobium_anhuiense	Commercial_kidney	GSC152	Nodule	2023	PRJNA1414687	complete	7550535	6	6986	259	100	0.13	phaseoli_y-a
QUR0015	CCASM_20013	Rhizobium_anhuiense	Commercial_kidney	GSC152	Nodule	2023	PRJNA1414687	complete	7561068	6	7006	241	100	0.13	phaseoli_y-a
QUR0020	CCASM_20018	Rhizobium_anhuiense	Commercial_kidney	GSC144	Nodule	2023	PRJNA1414687	draft	7268870	9	6757	169	100	0.13	phaseoli_y-a
QUR0021	CCASM_20019	Rhizobium_anhuiense	Commercial_kidney	GSC144	Nodule	2023	PRJNA1414687	draft	7305108	8	6768	189	99.68	0.13	phaseoli_y-a
QUR0022	CCASM_20020	Rhizobium_anhuiense	Commercial_kidney	GSC144	Nodule	2023	PRJNA1414687	draft	7295562	5	6776	164	100	0.13	phaseoli_y-a
QUR0023	CCASM_20021	Rhizobium_anhuiense	Commercial_kidney	GSC144	Nodule	2023	PRJNA1414687	draft	7297170	8	6782	175	100	0.13	phaseoli_y-a
QUR0040	CCASM_20037	Rhizobium_anhuiense	Commercian_navy	GSC144	Nodule	2023	PRJNA1414687	draft	7269311	9	6763	162	100	0.13	phaseoli_y-a
QUR0041	CCASM_20038	Rhizobium_anhuiense	Commercian_navy	GSC144	Nodule	2023	PRJNA1414687	draft	7269638	9	6743	189	99.69	0.13	phaseoli_y-a
